run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,moe_adjacent_overlap,moe_lift,moe_adjacent_overlap_std,moe_adjacent_overlap_ci_lo,moe_adjacent_overlap_ci_hi,moe_adjacent_overlap_n,moe_lift_std,moe_lift_ci_lo,moe_lift_ci_hi,moe_lift_n
AGG:v32:16384:bf,DeepSeek-V3.2,all_layers,16384,bf,aggregate,n=20,14045.85,102.75,0.25700587460838786,8.224187987468412,0.03767047437122873,0.23976501096245673,0.27203364193480184,20,1.2054551798793194,7.672480350798615,8.705076541913659,20
AGG:v32:16384:ld,DeepSeek-V3.2,all_layers,16384,ld,aggregate,n=8,11631.25,2048,0.26101130438993986,8.352361740478075,0.08226893680615067,0.2176847847143844,0.3181314012937351,8,2.6326059777968216,6.965913110860301,10.180204841399524,8
AGG:v32:16384:all,DeepSeek-V3.2,all_layers,16384,all,aggregate,n=28,13355.964285714286,658.5357142857143,0.25815028311740273,8.260809059756888,0.05250437401486305,0.24059299251418964,0.27851598732753446,28,1.6801399684756175,7.6989757604540685,8.912511594481103,28
AGG:v32:32768:bf,DeepSeek-V3.2,all_layers,32768,bf,aggregate,n=20,28873.05,104,0.2438196617053623,7.802229174571593,0.03831102715684249,0.22604243070923755,0.25823861940484305,20,1.2259528690189596,7.2333577826956015,8.263635820954978,20
AGG:v32:32768:ld,DeepSeek-V3.2,all_layers,32768,ld,aggregate,n=8,24460,2048,0.23748812917979212,7.599620133753348,0.03072662615339328,0.2189210872092044,0.2587725624547277,8,0.983252036908585,7.0054747906945405,8.280721998551286,8
AGG:v32:32768:all,DeepSeek-V3.2,all_layers,32768,all,aggregate,n=28,27612.178571428572,659.4285714285714,0.24201065241234224,7.744340877194952,0.0358623480162191,0.2281496628310137,0.25437116760964,28,1.1475951365190111,7.300789210592439,8.13987736350848,28
AGG:v32:65536:bf,DeepSeek-V3.2,all_layers,65536,bf,aggregate,n=19,58967.26315789474,102.84210526315789,0.24950721297909298,7.984230815330975,0.03740756324845777,0.23248337693190588,0.26389439663089065,19,1.1970420239506487,7.439468061820988,8.4446206921885,19
AGG:v32:65536:ld,DeepSeek-V3.2,all_layers,65536,ld,aggregate,n=8,63084.125,2048,0.25984672691744015,8.315095261358085,0.024662968049563323,0.24356962143928038,0.2749150354597982,8,0.7892149775860263,7.794227886056972,8.797281134713542,8
AGG:v32:65536:all,DeepSeek-V3.2,all_layers,65536,all,aggregate,n=27,60187.07407407407,679.1851851851852,0.25257077266452915,8.082264725264933,0.03399521277483906,0.23922927991972817,0.2643490511023875,27,1.0878468087948499,7.6553369574313015,8.4591696352764,27
AGG:v32:131072:bf,DeepSeek-V3.2,all_layers,131072,bf,aggregate,n=16,121556,24.4375,0.24380179846553635,7.801657550897163,0.03887269026732333,0.22440304721489648,0.26034763777060466,16,1.2439260885543466,7.1808975108766875,8.331124408659349,16
AGG:v32:131072:ld,DeepSeek-V3.2,all_layers,131072,ld,aggregate,n=8,110949.375,2048,0.2757441503967118,8.823812812694777,0.01567647080678666,0.2650363283947914,0.2854805918669879,8,0.5016470658171731,8.481162508633325,9.135378939743612,8
